Episode,"TD_V(0,0)","MC_V(0,0)"
100,-16.36349441177355,-68.28527087525971
200,-26.680650372069024,-95.73892766237178
300,-44.27628365852686,-62.597814066240595
400,-40.26345992473945,-82.3530390152519
500,-63.13140842976201,-84.90474645490957
600,-63.012334851724766,-95.53302768323852
700,-64.26029596211869,-83.54173891501223
800,-78.37885252944179,-67.11269691395529
900,-79.56673145467504,-79.355061742594
1000,-86.71101247796332,-109.46584342984224
1100,-85.06080015413295,-82.44230193116181
1200,-86.58673901328442,-73.7325921180858
1300,-94.90761980955325,-85.54046481588917
1400,-113.3806198488076,-64.8241244143213
1500,-106.65249045786987,-118.5672799442431
1600,-94.25614050435296,-93.35436352089265
1700,-99.33233755848444,-62.99359085938321
1800,-97.5459615895179,-53.10804067534612
1900,-104.91560452569706,-117.10616427706927
2000,-106.92269859206404,-94.19842878023881
2100,-104.29163208794913,-88.59129441625726
2200,-117.11180089333278,-83.28041918891529
2300,-111.36883463828688,-91.49311861802201
2400,-110.03954111911285,-69.06640905526186
2500,-111.64372749496879,-63.86907504454045
2600,-115.15188863249192,-79.43339325403733
2700,-115.00878069287833,-101.19786293906921
2800,-116.46867597251727,-90.8607922937017
2900,-123.05024834077213,-80.04893209736687
3000,-120.16081849409835,-70.77592260410955
3100,-129.8802396656045,-80.35515960019893
3200,-128.90602674517893,-68.71117084361137
3300,-140.82794478354285,-103.42187863569852
3400,-140.5993180073046,-69.33049569416089
3500,-133.94505456946104,-60.24870148981198
3600,-139.61041056952692,-92.78066319083658
3700,-141.33815620860236,-71.72469760054074
3800,-145.0664845774709,-75.08484956991789
3900,-149.5651897388537,-63.15920662152007
4000,-132.85354114838148,-71.6656512977283
4100,-134.28785887939455,-123.15061983199512
4200,-135.69159753993725,-73.41985876379117
4300,-137.28612159595602,-79.16304162817885
4400,-137.98107408843202,-84.84393277731151
4500,-137.24695660481373,-54.4152978638267
4600,-149.75011496782122,-61.97741979317323
4700,-157.06580240899305,-104.5762672263873
4800,-141.21128059975956,-109.25206895094566
4900,-144.10933504269585,-61.53484724347218
5000,-141.01271642200066,-79.91115204516987
5100,-150.04772162736427,-108.63920793066251
5200,-150.03431340870932,-51.49802354889956
5300,-144.15646451751218,-125.88298555490293
5400,-141.16237247427097,-62.71090920314378
5500,-137.2266674036468,-101.01007914712692
5600,-135.41544225460024,-68.5809939655224
5700,-136.3624188793228,-101.74441310402334
5800,-147.09883295905632,-76.19472312656085
5900,-144.51429880950135,-120.07754299111876
6000,-141.71666619841818,-123.44868535198984
6100,-134.2148734862869,-85.68896727262609
6200,-139.06215709726519,-64.7019713203934
6300,-142.95222599352073,-123.43810101738825
6400,-133.75643118297617,-52.82106535711897
6500,-141.1107077946395,-106.33826121471262
6600,-136.9938634086741,-78.73297482743516
6700,-132.76119783658459,-67.59894318481005
6800,-136.86962183258447,-93.95532203494413
6900,-134.596108578305,-56.23216551914525
7000,-140.78701545666448,-92.60388672998323
7100,-150.92639034833917,-84.56108720330585
7200,-141.44436455343205,-76.08983458364689
7300,-133.20952048224714,-70.1092130548726
7400,-137.73810662121585,-91.88936748789177
7500,-144.61504203550385,-94.83557565517276
7600,-149.99655370425558,-104.21308749310043
7700,-139.25477438820968,-92.84545642356358
7800,-139.3108187667573,-101.59519149834418
7900,-137.2433351851339,-66.7727112244952
8000,-134.7815355350521,-54.398616192719984
8100,-145.9499884915412,-59.44410150200986
8200,-137.4271276518166,-68.34690347551023
8300,-145.2025864466856,-60.32761630532046
8400,-142.25127537332475,-67.03533250144949
8500,-136.53511043703196,-110.74416016270104
8600,-148.41898827131664,-72.77339157565171
8700,-147.98222399070903,-82.71743234741174
8800,-145.99293168820859,-65.42665772582586
8900,-137.69417797907462,-78.959826080595
9000,-135.62505892350126,-78.41865074070638
9100,-140.1839372059775,-92.51073800704384
9200,-138.89219917147628,-79.04332163576939
9300,-140.03065803660584,-59.07797734921399
9400,-142.32025168899935,-80.34772119080662
9500,-149.76587215831108,-95.11713506600584
9600,-145.69104880883626,-64.13351570898186
9700,-145.1321605015973,-71.10088791928368
9800,-143.65677124113785,-60.39035292276153
9900,-142.67607063998304,-67.8673735567809
10000,-153.67598313720387,-82.09514260519781
10100,-141.32207125921047,-96.33907100745898
10200,-141.70740353115937,-71.57273496007888
10300,-137.57422326832577,-71.17559228061786
10400,-140.8436293498874,-63.68095826940366
10500,-141.02055667981546,-78.80859862431005
10600,-138.35850334265595,-64.06372401533946
10700,-146.2889818757932,-102.85272731071859
10800,-135.53697345938136,-70.33107103279151
10900,-132.83918115031986,-82.06401864648309
11000,-133.08453307444904,-118.38327710270107
11100,-142.51792811675577,-70.73431593835875
11200,-133.65972571435532,-92.14647219348102
11300,-130.12280133954738,-56.54660814265642
11400,-139.40366627744524,-67.38644357365165
11500,-133.62628785609706,-92.86685630200506
11600,-133.17432538533137,-76.18615331254829
11700,-129.8570632020992,-89.82365916414369
11800,-130.15615118149893,-66.96863554017521
11900,-136.04920044262332,-107.02665718566766
12000,-135.73861494824865,-87.22675554698087
12100,-133.64461397374993,-67.30287101374815
12200,-129.94246483323982,-77.7568634005156
12300,-133.16491881378784,-80.21202794009425
12400,-140.63850148820472,-55.632915889263955
12500,-138.48768373220008,-64.2330591870953
12600,-134.15656772691293,-102.67689567901763
12700,-131.28726079760668,-73.50576085651296
12800,-133.00763272916515,-50.69526680498375
12900,-131.13846055389342,-79.01791497083994
13000,-135.8491103014768,-96.511379176825
13100,-133.98839785139793,-130.84254787998597
13200,-151.2326165946989,-69.13083596969447
13300,-148.12256530638928,-69.09641791999383
13400,-135.3798507906706,-79.08775338154543
13500,-134.49808472884135,-96.66312549738491
13600,-144.60792431256215,-61.89624401213071
13700,-142.12242352842787,-58.60971360336895
13800,-139.41530405531685,-65.27943927054847
13900,-137.78827198072355,-73.17992141104628
14000,-139.19510317901592,-75.24109454878487
14100,-143.40764536133577,-89.91103967788729
14200,-136.35307370638873,-107.41270739254774
14300,-145.85500215687253,-74.64173849271515
14400,-135.83126160414238,-67.22699790263914
14500,-134.1457787456228,-91.85833523035264
14600,-131.52016464090988,-83.95542091441673
14700,-132.37108902016084,-125.40055314607358
14800,-139.4318728045588,-100.12306511024558
14900,-130.76041300415832,-86.43576934064431
15000,-133.4836309842262,-90.33845035416634
15100,-131.2265728641502,-95.75117438423621
15200,-143.78500311777478,-86.46718883895507
15300,-133.8301790072111,-68.95407046145972
15400,-134.9898990277946,-68.77911733216577
15500,-147.18883993658702,-73.91869987804633
15600,-146.6789993470427,-73.60490613053796
15700,-139.26714656810702,-114.31879770654167
15800,-138.09894480832645,-92.5877698505527
15900,-143.09381096274694,-114.87565284414086
16000,-145.6449069738232,-81.43064730949499
16100,-140.7502653691142,-120.64982673135422
16200,-146.06800791485682,-95.19279347988261
16300,-140.1706666789502,-115.24437580301168
16400,-147.52968223218258,-107.23786602727675
16500,-140.9660933643441,-80.32931566418819
16600,-137.13743496278525,-59.702923665097096
16700,-145.28825410417963,-77.16662415443733
16800,-144.15615744655378,-85.95376032842867
16900,-162.1978715969231,-103.73702161929232
17000,-146.66780952677323,-69.09730434493645
17100,-146.78099001410237,-76.85044629112878
17200,-140.46009489602727,-62.19852191561516
17300,-158.41423290492426,-79.3451301733269
17400,-141.86674740005833,-118.68750030018566
17500,-153.50522797775398,-86.3046606335256
17600,-145.27532751202187,-108.54795265419445
17700,-144.68557134479667,-64.17686760136644
17800,-142.07241864024786,-67.99462733948323
17900,-138.60686563376933,-104.48481405224948
18000,-138.2389785652954,-81.64569738900333
18100,-137.15668368028258,-88.62574432819453
18200,-143.00347794951966,-63.66906189855316
18300,-143.913192877082,-64.08663028028579
18400,-144.6610914918488,-125.45391247720194
18500,-140.9598797741697,-68.5137101360448
18600,-144.33880612251662,-77.61648948988625
18700,-143.06909846501364,-70.95331989068059
18800,-136.6247688278049,-84.63433040158925
18900,-137.78096092260387,-78.79430503831176
19000,-136.35446024076396,-95.04188792200647
19100,-137.530703210381,-79.15113123694847
19200,-142.98184141086054,-81.13678126054361
19300,-138.34408955338074,-113.1419532470729
19400,-137.53427289547747,-97.4708135038961
19500,-142.78940543889348,-71.53642382498558
19600,-138.41883157579016,-129.58499484311682
19700,-134.2301303405615,-91.53362813876667
19800,-140.38913203776087,-89.22777673794295
19900,-136.59947534245686,-91.04349637842844
20000,-138.9457381296532,-83.07873568751846
