Episode,Standard_TD,RandomWall_TD,Standard_MC,RandomWall_MC
500,-21.091172769330125,-51.52967264568592,-53.90567167262026,-72.39074321385104
1000,-33.220156258098356,-85.60410793485285,-52.73726599602546,-118.93912801947859
1500,-42.62969259056379,-99.29656255315707,-59.43493904076141,-67.20896704957269
2000,-47.51202054875458,-109.32906638681638,-44.332443565877405,-114.59331940881967
2500,-50.6892345261386,-120.50488425203399,-62.314795377541266,-128.36002152548375
3000,-54.08356499033469,-127.47247935151374,-53.31159253997292,-121.84538312037219
3500,-57.00250007070046,-134.92294870156906,-49.298932101682496,-147.52958700897167
4000,-57.973912701882426,-137.91020751465695,-60.789511501495774,-102.68401725996591
4500,-57.66132118431156,-137.90244759565874,-45.85396938245596,-75.94809904279535
5000,-58.06730560933982,-130.86709410846817,-52.26423472718536,-182.71371069283097
5500,-57.63121186873217,-134.98688959115572,-52.38885392457316,-141.611378938879
6000,-58.505744107358936,-135.7994763352366,-51.28112308774365,-115.76187067399198
6500,-58.96195231195562,-134.6358298809804,-58.96709221460965,-100.3878267438725
7000,-58.7176023668249,-147.05896667649094,-51.63865030500543,-402.604570606367
7500,-57.67254060965612,-150.30105741107468,-67.73522218495171,-399.19115218386906
8000,-59.88189495798578,-137.9991346978492,-54.217498038498135,-156.89850952207226
8500,-59.597850934200686,-154.3900702431278,-49.05539529015796,-124.91964835558636
9000,-59.4354732746008,-144.56654624011682,-51.94142242093718,-123.45414149029182
9500,-59.674399492114546,-135.5391341059807,-80.64585451286321,-73.55923946843299
10000,-59.94733102610621,-163.93913502147737,-50.720711951241675,-209.71687025575537
10500,-60.89343470896619,-140.25276006634715,-68.87282740564872,-120.00532480002086
11000,-60.94308371681917,-145.56050908324082,-49.242984877007636,-110.06154382890189
11500,-60.102795393938166,-144.6864892657181,-42.813840949233445,-94.16564963810761
12000,-60.48469822998556,-144.79911576037554,-51.37537532687441,-255.8329883038157
12500,-59.40143541630754,-141.2082545881855,-52.62748596636355,-147.37325361733068
13000,-59.53733321931932,-150.46076177915955,-50.279249576376145,-297.96066675993666
13500,-59.28199485963755,-151.71322270346934,-59.35776669529175,-119.16077602214764
14000,-59.95139299464617,-142.23875222590502,-54.40478298844035,-105.79477830034101
14500,-59.123460004243704,-135.8873840176327,-84.6663892581519,-78.81979670976663
15000,-59.314239636818115,-139.09275325420901,-46.627013518482634,-337.8529642682901
15500,-59.10717626100978,-142.87035650076047,-65.32968568662822,-402.11246856185403
16000,-58.50835484887998,-144.46533183279925,-71.83019298117564,-61.02742160275456
16500,-60.07499092995796,-141.0329336203134,-73.54115156533285,-82.80564691853658
17000,-60.72418892436492,-133.12374895893865,-51.10978620645865,-144.6066074240594
